split,track_id,frame_index,target_type,payload_capability,adversarial_capability,endurance_margin,mission_type,coordination_level,heading_angle,route_deviation,distance,velocity,altitude,time_to_arrival,swarm_size,defense_capability,target_asset_value,track_confidence,threat_label,urgency_label
train,158,41,0.00000000,0.17404170,0.32249555,0.49247018,0.00000000,0.17829141,0.76672876,0.06866997,0.79966336,0.30028450,0.48288336,0.98000002,0.39772090,0.54899728,0.81009793,0.61906910,2,1
train,158,42,0.00000000,0.23327540,0.24808481,0.50588959,0.00000000,0.20380162,0.79408073,0.08919805,0.79749805,0.26252341,0.50684005,0.83131188,0.37399819,0.56730312,0.88519609,0.60006195,2,1
train,158,43,0.00000000,0.18945763,0.28728580,0.52451688,0.00000000,0.26638767,0.79547894,0.11425762,0.77646321,0.27314442,0.54360616,0.88188338,0.35509688,0.57570869,0.79778594,0.60396910,2,1
train,158,44,0.00000000,0.25894752,0.24898893,0.52710938,0.00000000,0.19847463,0.74086082,0.13937694,0.80832767,0.29401642,0.50735229,0.94333398,0.34162873,0.65858150,0.81614923,0.64283937,2,1
train,158,45,0.00000000,0.20841667,0.24186014,0.52398539,0.00000000,0.24303837,0.78514570,0.15094467,0.71160132,0.27468070,0.43652928,0.91174155,0.34926826,0.56205940,0.81288415,0.60138017,2,1
train,158,46,0.00000000,0.22379714,0.32391724,0.50851113,0.00000000,0.21904905,0.77563548,0.14053208,0.70081407,0.24002461,0.49527106,0.91391706,0.38269642,0.55884129,0.77714306,0.62887448,2,1
train,158,47,0.00000000,0.24137865,0.30406386,0.50297600,0.00000000,0.21081924,0.73995399,0.15279992,0.75598240,0.32431164,0.50107950,0.90335649,0.34217119,0.57394344,0.84660685,0.64149743,2,1
train,158,48,0.00000000,0.19386292,0.29329965,0.53896278,0.00000000,0.23267850,0.68994689,0.10913070,0.72954941,0.31553072,0.49411240,0.90505159,0.31131279,0.52319306,0.84971410,0.55926007,2,1
train,158,49,0.00000000,0.24460062,0.32113013,0.49941427,0.00000000,0.26538649,0.72219938,0.15401019,0.74772292,0.26911971,0.48921016,0.92054313,0.33493090,0.60598224,0.83648819,0.59419543,2,1
train,158,50,0.00000000,0.26684859,0.31421208,0.55380905,0.00000000,0.20414236,0.72998995,0.08166958,0.73425329,0.33139119,0.48709267,0.92545414,0.30623776,0.56462145,0.83869922,0.62410355,2,1
train,158,51,0.00000000,0.28110287,0.32309636,0.47707337,0.00000000,0.17996290,0.71389455,0.15308790,0.69500697,0.25484875,0.49975458,0.90820920,0.32584465,0.54609060,0.79429686,0.60328990,2,1
train,158,52,0.00000000,0.25766048,0.25473505,0.46022630,0.00000000,0.24828279,0.73296511,0.09519304,0.70553499,0.26996887,0.47408757,0.86377269,0.30829301,0.62622708,0.83438009,0.55667990,2,1
train,158,53,0.00000000,0.20619877,0.27268338,0.48457375,0.00000000,0.26987377,0.75185436,0.14021339,0.73212773,0.28707787,0.46481904,0.87940812,0.34964293,0.53483731,0.81633401,0.62046933,2,1
train,158,54,0.00000000,0.23097473,0.30285409,0.53474808,0.00000000,0.19355740,0.72314644,0.11873370,0.65527707,0.28820240,0.50245470,0.88967401,0.38523105,0.57835048,0.84139168,0.61686867,2,1
train,158,55,0.00000000,0.24239270,0.27127299,0.51320952,0.00000000,0.24866605,0.65568250,0.19100885,0.64900589,0.26922181,0.46586648,0.85167795,0.33648765,0.55113375,0.82351768,0.57293707,2,1
train,158,56,0.00000000,0.19017126,0.28259921,0.51560694,0.00000000,0.24807185,0.72748637,0.11068986,0.69437540,0.30286008,0.47389293,0.86177748,0.36434889,0.61799890,0.83608627,0.59799612,2,1
train,158,57,0.00000000,0.20311372,0.25877112,0.46638200,0.00000000,0.21128774,0.70164794,0.08621673,0.70931619,0.28359401,0.48782936,0.86876178,0.32719705,0.57899934,0.85901713,0.56623107,2,1
train,158,58,0.00000000,0.19426084,0.30101845,0.53902769,0.00000000,0.20719548,0.72222817,0.11350650,0.67409402,0.24883062,0.48870492,0.88531780,0.38736451,0.61112672,0.82873625,0.58073837,2,1
train,158,59,0.00000000,0.22595820,0.29765657,0.49192512,0.00000000,0.26911870,0.65480065,0.15459454,0.64889121,0.28158632,0.49511382,0.87975007,0.35833803,0.58579367,0.83186752,0.61533141,2,1
train,158,60,0.00000000,0.18035963,0.30313158,0.51603055,0.00000000,0.22533025,0.69619513,0.13614516,0.63872403,0.29666162,0.42727554,0.88390970,0.35301465,0.60208809,0.78346908,0.63156581,2,2
train,158,61,0.00000000,0.21746129,0.29830694,0.51071507,0.00000000,0.26962468,0.68379551,0.09089056,0.64524329,0.35676458,0.49886334,0.90985036,0.37120336,0.60496736,0.83876765,0.60443580,2,1
train,158,62,0.00000000,0.19419840,0.31051537,0.57561123,0.00000000,0.15469243,0.71349585,0.11951584,0.67063373,0.32713223,0.44521990,0.87279606,0.33614716,0.57623273,0.86398143,0.60622555,2,1
train,158,63,0.00000000,0.20830140,0.31172195,0.44162092,0.00000000,0.23643759,0.65364522,0.20070775,0.61476630,0.31694198,0.43699491,0.87736708,0.37343907,0.62719136,0.82090676,0.59817725,2,1
train,180,0,0.00000000,0.54837316,0.37038881,0.32269469,0.00000000,0.32113224,0.84140754,0.28992754,0.70224714,0.43382382,0.39318392,0.68395472,0.44080964,0.40402809,0.53163677,0.82435608,3,2
train,180,1,0.00000000,0.60080689,0.40936613,0.35606030,0.00000000,0.32568222,0.85516626,0.26711243,0.70485163,0.40624583,0.42613101,0.65589267,0.45684630,0.41764712,0.55087310,0.81668496,3,2
train,180,2,0.00000000,0.61321777,0.39532095,0.33206940,0.00000000,0.34292367,0.83740973,0.36810276,0.71695495,0.39722788,0.43040219,0.65925479,0.46898079,0.40589243,0.54962170,0.83160639,3,2
train,180,3,0.00000000,0.59154576,0.37941900,0.33515343,0.00000000,0.30061263,0.85141343,0.24073206,0.73976940,0.37786597,0.44371840,0.69776100,0.44035262,0.40290701,0.54357582,0.82700169,3,2
train,180,4,0.00000000,0.53467476,0.40553376,0.32119846,0.00000000,0.33385122,0.81221980,0.26391822,0.70478296,0.41947049,0.41852915,0.60918957,0.46769011,0.36575046,0.53574717,0.78777826,3,2
train,180,5,0.00000000,0.59244156,0.42796484,0.32615224,0.00000000,0.36242422,0.82785612,0.21271066,0.70777369,0.43301651,0.43394420,0.65443182,0.49393398,0.38147998,0.56884164,0.81555188,3,2
train,180,6,0.00000000,0.56153458,0.42644095,0.31987774,0.00000000,0.35434428,0.86562037,0.26957086,0.71494007,0.41181231,0.43608835,0.64053029,0.43425289,0.39504400,0.49771112,0.81504804,3,2
train,180,7,0.00000000,0.56214678,0.36685690,0.30623469,0.00000000,0.32846424,0.83540201,0.27438721,0.71738714,0.43183473,0.40359288,0.59591633,0.42376876,0.36489275,0.53782058,0.83042526,3,2
train,180,8,0.00000000,0.56759799,0.41276836,0.32795012,0.00000000,0.35860276,0.83294934,0.29559079,0.69356704,0.40815213,0.38691244,0.69338125,0.45801401,0.39826620,0.49661601,0.83341634,3,2
train,180,9,0.00000000,0.55277860,0.36768928,0.30555084,0.00000000,0.31665358,0.83581245,0.29939336,0.70283788,0.39299026,0.43597949,0.61987412,0.47357973,0.38359848,0.49743900,0.85004622,3,2
train,180,10,0.00000000,0.59143347,0.40059581,0.32555309,0.00000000,0.33553964,0.86903960,0.32331184,0.72896898,0.38210082,0.45066234,0.68066782,0.42586234,0.40459982,0.54688895,0.80996382,3,2
train,180,11,0.00000000,0.57402009,0.40759349,0.30489004,0.00000000,0.33186954,0.79467088,0.30553001,0.69237655,0.41092539,0.41450977,0.65186024,0.44881520,0.40183723,0.51797658,0.77401847,3,2
train,180,12,0.00000000,0.59895438,0.40576577,0.31457782,0.00000000,0.34653023,0.82083786,0.31537539,0.69648397,0.41932470,0.40964246,0.64377785,0.46999770,0.35391432,0.47651514,0.75972652,3,2
train,180,13,0.00000000,0.57295352,0.39611033,0.35352874,0.00000000,0.35632449,0.82701653,0.31527543,0.69843185,0.40675154,0.44129428,0.61415714,0.44614154,0.36870849,0.55847520,0.83882707,3,2
train,180,14,0.00000000,0.56440622,0.40449989,0.34132338,0.00000000,0.39252323,0.79894489,0.29717147,0.63529074,0.42605537,0.39207473,0.60685152,0.46044672,0.35288155,0.53812587,0.84375799,3,2
train,180,15,0.00000000,0.54856706,0.35960120,0.31256449,0.00000000,0.35937226,0.84941769,0.29188910,0.63311213,0.44907606,0.41925156,0.61405385,0.47533900,0.40655017,0.51761770,0.81960499,3,2
train,180,16,0.00000000,0.58575535,0.39779273,0.32782674,0.00000000,0.38217473,0.78090763,0.32220045,0.67060673,0.40448779,0.42473564,0.62489551,0.46558964,0.37294209,0.50030833,0.82740372,3,2
train,180,17,0.00000000,0.60614860,0.36964354,0.31324911,0.00000000,0.41366354,0.80187249,0.28166124,0.70023680,0.38804823,0.44526950,0.60394108,0.46958649,0.38703987,0.53961414,0.85420305,3,2
train,180,18,0.00000000,0.56622058,0.40159291,0.35086599,0.00000000,0.35986972,0.82929820,0.32845166,0.63308394,0.46001902,0.39252123,0.58114225,0.49829575,0.36065125,0.53894162,0.81395048,3,2
train,180,19,0.00000000,0.60051167,0.37975430,0.31241009,0.00000000,0.41986111,0.78725970,0.30784062,0.61852407,0.37825975,0.38784516,0.57516998,0.50867540,0.36428139,0.53276581,0.81317222,3,2
train,180,20,0.00000000,0.56551617,0.39642030,0.31621268,0.00000000,0.38356835,0.80674553,0.28435579,0.62340963,0.42853105,0.37037727,0.55229896,0.48596889,0.37605497,0.50380790,0.79269743,3,2
train,180,21,0.00000000,0.57418239,0.40818909,0.38902083,0.00000000,0.37378323,0.81631130,0.35814720,0.66322643,0.42880177,0.41901845,0.61221510,0.47995821,0.43329599,0.51478684,0.80570757,3,2
train,180,22,0.00000000,0.56975883,0.40821755,0.29622304,0.00000000,0.36530793,0.77618438,0.28468046,0.63953286,0.40751600,0.38473922,0.57337761,0.48054564,0.42217818,0.51128405,0.81408566,3,2
train,180,23,0.00000000,0.55482739,0.40731230,0.26747811,0.00000000,0.40231478,0.78553271,0.33313599,0.60713810,0.36913529,0.40286404,0.56101114,0.50594074,0.36980271,0.52424192,0.78078419,3,2
train,180,24,0.00000000,0.55216730,0.36040086,0.31647575,0.00000000,0.36969447,0.80352300,0.28501400,0.66179579,0.45593283,0.41780970,0.51964670,0.47128046,0.41104347,0.50968665,0.84130514,3,2
train,180,25,0.00000000,0.60233766,0.41327322,0.31212443,0.00000000,0.40522155,0.78277034,0.33235720,0.61627191,0.44953164,0.42647421,0.56467706,0.47674355,0.35127914,0.55205786,0.78824937,3,2
train,180,26,0.00000000,0.53766870,0.42695710,0.36270851,0.00000000,0.41633525,0.77189720,0.30523756,0.64452308,0.43319774,0.40585312,0.54995096,0.47235572,0.40834984,0.52741337,0.81110495,3,2
train,180,27,0.00000000,0.59045744,0.37872866,0.28803635,0.00000000,0.42488208,0.74756819,0.30826023,0.66089320,0.49044627,0.39525995,0.55070454,0.47792953,0.37966615,0.53585339,0.87188220,3,2
train,180,28,0.00000000,0.58166069,0.37546089,0.35822859,0.00000000,0.43720394,0.72068572,0.29644820,0.56428170,0.43555751,0.40664166,0.54982388,0.49438852,0.38760731,0.54373389,0.78395182,3,2
train,180,29,0.00000000,0.57259208,0.41364762,0.33389211,0.00000000,0.46574727,0.71931005,0.30853844,0.60797828,0.45221105,0.38327202,0.49510950,0.46822482,0.37001500,0.52530116,0.82261169,3,2
train,180,30,0.00000000,0.58089143,0.41755849,0.36662441,0.00000000,0.39324081,0.70744026,0.33542407,0.59720951,0.42583045,0.45481157,0.49264973,0.53119123,0.39055166,0.56406111,0.81106150,3,2
train,180,31,0.00000000,0.53422093,0.37833661,0.31064904,0.00000000,0.39433911,0.72571760,0.29042134,0.59906131,0.42651719,0.36528242,0.50247699,0.50902182,0.38926157,0.56600314,0.81731266,3,2
train,180,32,0.00000000,0.58198762,0.39591637,0.37591612,0.00000000,0.44746074,0.75154203,0.30691093,0.55547971,0.44075164,0.38403434,0.53345037,0.53029233,0.40328148,0.51410389,0.79180431,3,2
train,180,33,0.00000000,0.53605688,0.36682284,0.33716258,0.00000000,0.42922342,0.69281477,0.31565052,0.57128322,0.45909926,0.37332380,0.49693939,0.50647140,0.39925358,0.50263178,0.78306204,3,2
train,180,34,0.00000000,0.55937731,0.40867543,0.38218686,0.00000000,0.44943079,0.73479509,0.30986014,0.55596596,0.43720925,0.37722522,0.51067257,0.51403183,0.38716167,0.55785877,0.81700462,3,2
train,180,35,0.00000000,0.58485240,0.38801852,0.30265096,0.00000000,0.45313802,0.76430529,0.36359578,0.57754022,0.46375123,0.37320575,0.50837630,0.51207626,0.34663495,0.52207088,0.79833806,3,2
train,180,36,0.00000000,0.59679997,0.38841373,0.34880829,0.00000000,0.43280831,0.71568245,0.27423289,0.52032715,0.46591088,0.39018112,0.46854934,0.48819125,0.38399053,0.54951006,0.80579603,3,2
train,180,37,0.00000000,0.58618426,0.42577282,0.34780002,0.00000000,0.48063397,0.69810563,0.32939342,0.54335374,0.46375892,0.38055429,0.46524513,0.46032694,0.39569959,0.53043729,0.77753901,3,2
train,180,38,0.00000000,0.55903393,0.39830056,0.31874099,0.00000000,0.45810434,0.64277333,0.35028240,0.56323326,0.45554441,0.41036212,0.42730728,0.51969802,0.41798338,0.56327510,0.77409953,3,2
train,180,39,0.00000000,0.56163615,0.40658125,0.34314689,0.00000000,0.46388397,0.72010303,0.31473723,0.56801063,0.42317823,0.39504880,0.42076498,0.52273101,0.35535601,0.54672009,0.78450245,3,2
train,180,40,0.00000000,0.54916126,0.39292473,0.29494539,0.00000000,0.48963422,0.69431537,0.33598253,0.54589695,0.46571478,0.34251297,0.44324583,0.51288486,0.37076423,0.50067502,0.77159071,3,2
train,180,41,0.00000000,0.56196034,0.42150638,0.29254404,0.00000000,0.47145414,0.67562890,0.35201547,0.53726208,0.45552343,0.37866884,0.49581036,0.50940859,0.40865201,0.52615404,0.81726384,3,2
train,180,42,0.00000000,0.58516902,0.42586634,0.32483670,0.00000000,0.50273722,0.64305234,0.33321765,0.48703691,0.46343192,0.36327994,0.43790296,0.55250907,0.37230468,0.54600239,0.78110844,3,2
train,180,43,0.00000000,0.55467701,0.41610715,0.28730020,0.00000000,0.47382435,0.63839066,0.33412153,0.53045934,0.48490971,0.35607681,0.39661258,0.52667844,0.39796788,0.50518924,0.79563087,3,2
train,180,44,0.00000000,0.55913562,0.40001383,0.34585500,0.00000000,0.46611494,0.65587580,0.34888753,0.50506628,0.47061414,0.37233517,0.41077003,0.51086676,0.37556905,0.51381129,0.76069778,3,2
train,180,45,0.00000000,0.60970616,0.42893347,0.35674751,0.00000000,0.51566494,0.60293919,0.32340217,0.48128220,0.48455837,0.35960528,0.40887523,0.54660517,0.34400979,0.54143780,0.77768129,3,2
train,180,46,0.00000000,0.58653015,0.41874409,0.37105390,0.00000000,0.48074818,0.64007980,0.31203666,0.49450696,0.52802610,0.34576920,0.36993772,0.50595713,0.38882709,0.57081228,0.73070544,4,2
train,180,47,0.00000000,0.58434045,0.38909450,0.30084693,0.00000000,0.47553977,0.63530082,0.36255443,0.51031858,0.52168870,0.36318475,0.39622337,0.56867218,0.37360206,0.52599210,0.79226094,3,2
train,180,48,0.00000000,0.56469697,0.40122768,0.30250210,0.00000000,0.49759662,0.57786894,0.35665175,0.47162816,0.51418895,0.38532591,0.39310476,0.54725325,0.36788848,0.54936224,0.78340042,4,2
train,180,49,0.00000000,0.55996847,0.38810524,0.37086850,0.00000000,0.49842033,0.57824785,0.35285318,0.44435856,0.47017068,0.37069535,0.39687422,0.54993230,0.37877756,0.49893188,0.76639050,4,2
train,180,50,0.00000000,0.57515079,0.38853598,0.34290543,0.00000000,0.49009609,0.57956761,0.34132752,0.43928933,0.49526832,0.30646640,0.42121795,0.53791881,0.36895353,0.52853268,0.76429665,4,2
train,180,51,0.00000000,0.56829077,0.40812621,0.31589085,0.00000000,0.49633726,0.59721631,0.36678711,0.44085813,0.50465274,0.35186794,0.37692401,0.57186109,0.40191874,0.56590790,0.78741139,4,2
train,180,52,0.00000000,0.56330341,0.40219784,0.32357073,0.00000000,0.51663727,0.57406223,0.33305588,0.45521706,0.50312501,0.38510352,0.35865825,0.53676224,0.39453536,0.55353546,0.78173554,4,2
train,180,53,0.00000000,0.60053313,0.40651962,0.32252926,0.00000000,0.50475186,0.53183293,0.37548709,0.46845970,0.46370199,0.34175274,0.34938553,0.52234691,0.36437720,0.55629534,0.76535428,4,2
train,180,54,0.00000000,0.58338767,0.43998584,0.32769683,0.00000000,0.46706426,0.51706469,0.36329392,0.41246873,0.53582042,0.34739786,0.33483359,0.55447471,0.43362269,0.51196980,0.76872981,4,2
train,180,55,0.00000000,0.61971200,0.36049819,0.32335487,0.00000000,0.49666002,0.49697724,0.33785161,0.45437896,0.49097842,0.34938079,0.36286134,0.52403158,0.41183120,0.50497836,0.75842875,4,2
train,180,56,0.00000000,0.56877363,0.40934864,0.29748413,0.00000000,0.51011956,0.53760540,0.34320623,0.42200807,0.49314541,0.36970538,0.33375412,0.52310312,0.38939312,0.52211028,0.78409135,4,2
train,180,57,0.00000000,0.56860811,0.40383050,0.29140365,0.00000000,0.50783855,0.51084191,0.34294948,0.40105656,0.49431062,0.34569484,0.30168056,0.53776944,0.37006363,0.54282266,0.77918518,4,2
train,180,58,0.00000000,0.56656432,0.43597877,0.34171087,0.00000000,0.51452082,0.54076618,0.36615846,0.37791440,0.48571551,0.36374554,0.30751494,0.53547919,0.42818049,0.51735592,0.76495129,4,2
train,180,59,0.00000000,0.56197739,0.40361559,0.36026546,0.00000000,0.50235248,0.51478815,0.39851096,0.39946961,0.50577146,0.34005606,0.30507794,0.59545654,0.35467878,0.50675237,0.75798672,4,2
train,180,60,0.00000000,0.62910455,0.40026781,0.31898901,0.00000000,0.54082274,0.47962114,0.36941677,0.42340010,0.52759701,0.35128549,0.29476205,0.50428236,0.39442873,0.56511915,0.79983574,4,2
train,180,61,0.00000000,0.57116318,0.40821111,0.36449027,0.00000000,0.47987327,0.54592228,0.33158907,0.38674450,0.46860614,0.39264825,0.27661079,0.56244558,0.41772670,0.53575164,0.74067402,4,2
train,180,62,0.00000000,0.58260667,0.42105225,0.31498432,0.00000000,0.50332838,0.50148273,0.35517529,0.36233664,0.50409788,0.38374865,0.27938682,0.58363748,0.35864100,0.56208640,0.79660028,4,2
train,180,63,0.00000000,0.58660394,0.42478096,0.33274907,0.00000000,0.50856167,0.49887452,0.36464351,0.39570785,0.50254369,0.35492632,0.31591713,0.54483306,0.40771022,0.53512275,0.78285331,4,2
train,4,0,0.00000000,0.06406236,0.52450907,0.30702263,0.00000000,0.47757733,0.76984751,0.39277068,0.78267878,0.31859189,0.70021641,0.68911815,0.56729209,0.46516424,0.85432273,0.80141324,2,2
